Feature,MeanAbsSHAP
Bit_1553,0.00022471538
Bit_52,0.00022386125
Bit_586,0.0002220184
Bit_469,0.0002217875
Bit_1701,0.0002216785
Bit_606,0.00022132658
Bit_42,0.00022089861
Bit_56,0.00021928028
Bit_497,0.00021812075
Bit_496,0.00021769597
Bit_2011,0.00021652722
Bit_1128,0.00021559022
Bit_225,0.00021491408
Bit_545,0.00021421275
Bit_575,0.00021262813
Bit_1263,0.00021143384
Bit_409,0.00021127421
Bit_1516,0.00021038494
Bit_547,0.00020979857
Bit_1489,0.00020925015
Bit_1534,0.00020765931
Bit_1755,0.00020684156
Bit_1056,0.00020561877
Bit_245,0.00020556591
Bit_1104,0.00020485566
Bit_281,0.0002045906
Bit_1033,0.00020254597
Bit_16,0.00020246675
Bit_613,0.00020002153
Bit_230,0.0001993234
Bit_100,0.00019864332
Bit_1695,0.00019810989
Bit_1350,0.00019697615
Bit_1042,0.00019639554
Bit_1620,0.00019362387
Bit_219,0.0001935799
Bit_76,0.00019330891
Bit_303,0.0001928431
Bit_62,0.00019136551
Bit_642,0.00019126634
Bit_466,0.0001911786
Bit_636,0.00019115832
Bit_1808,0.00019037677
Bit_1119,0.00019000107
Bit_199,0.0001897517
Bit_128,0.00018838065
Bit_916,0.00018700359
Bit_541,0.00018591023
Bit_1031,0.00018582726
Bit_510,0.00018554965
Bit_1876,0.00018328759
Bit_1971,0.00018256386
Bit_876,0.0001821625
Bit_387,0.00018196783
Bit_2043,0.00017977749
Bit_170,0.00017943996
Bit_535,0.00017856291
Bit_68,0.00017669686
Bit_1839,0.00017591052
Bit_1959,0.0001755417
Bit_465,0.00017511309
Bit_265,0.00017505478
Bit_1493,0.0001738338
Bit_1427,0.00017356058
Bit_803,0.00017284676
Bit_1358,0.00017274258
Bit_1715,0.0001724433
Bit_825,0.00017095137
Bit_174,0.00016997139
Bit_1265,0.00016975924
Bit_371,0.00016784822
Bit_1923,0.00016436345
Bit_1459,0.00016384543
Bit_1120,0.00016313483
Bit_457,0.00016272103
Bit_1666,0.00016111122
Bit_609,0.00016039179
Bit_78,0.00015973931
Bit_1515,0.00015905121
Bit_1863,0.00015783393
Bit_315,0.0001575401
Bit_947,0.00015732387
Bit_1658,0.0001563749
Bit_979,0.00015616242
Bit_1020,0.00015541266
Bit_672,0.00015459667
Bit_188,0.0001545377
Bit_432,0.000153755
Bit_1238,0.0001521691
Bit_21,0.00015204198
Bit_143,0.00015166691
Bit_1539,0.00015162297
Bit_428,0.00014913573
Bit_206,0.00014891101
Bit_1684,0.00014889467
Bit_1557,0.00014694098
Bit_1629,0.00014640408
Bit_64,0.00014592869
Bit_488,0.00014530124
Bit_1297,0.00014437498
Bit_121,0.00014383465
Bit_1978,0.00014241415
Bit_1799,0.00014176781
Bit_204,0.00014147261
Bit_664,0.00013979319
Bit_1742,0.00013861949
Bit_913,0.00013860383
Bit_1222,0.00013855414
Bit_1946,0.0001375993
Bit_663,0.00013733775
Bit_1326,0.0001372397
Bit_1852,0.00013680811
Bit_291,0.00013636546
Bit_1555,0.00013457304
Bit_980,0.00013454918
Bit_704,0.00013444337
Bit_782,0.00013425674
Bit_1206,0.00013382286
Bit_2041,0.00013363216
Bit_1543,0.00013315973
Bit_32,0.00013308378
Bit_1216,0.00013206044
Bit_1772,0.00013183377
Bit_748,0.00013180384
Bit_192,0.00013053835
Bit_887,0.00013052045
Bit_386,0.00012986902
Bit_415,0.00012909716
Bit_139,0.00012852116
Bit_87,0.0001285064
Bit_214,0.00012810898
Bit_706,0.00012749717
Bit_241,0.00012680567
Bit_676,0.00012627916
Bit_342,0.00012627056
Bit_1953,0.00012539505
Bit_300,0.00012531031
Bit_1993,0.0001251884
Bit_744,0.00012420124
Bit_1415,0.00012339531
Bit_449,0.00012296099
Bit_1261,0.00012279616
Bit_574,0.00012182353
Bit_401,0.0001218114
Bit_733,0.000120866636
Bit_1366,0.00012082251
Bit_912,0.000120233875
Bit_972,0.00011995666
Bit_110,0.00011993142
Bit_123,0.000119850185
Bit_149,0.00011960776
Bit_93,0.00011932862
Bit_1948,0.00011920278
Bit_1341,0.00011803224
Bit_148,0.00011796354
Bit_1720,0.0001175263
Bit_774,0.000116485324
Bit_1982,0.00011641769
Bit_240,0.00011608364
Bit_391,0.000116080024
Bit_942,0.00011534227
Bit_365,0.00011506976
Bit_661,0.00011501791
Bit_297,0.00011326249
Bit_390,0.00011304942
Bit_579,0.00011291747
Bit_818,0.00011277455
Bit_502,0.00011245026
Bit_849,0.00011220688
Bit_1144,0.00011204551
Bit_424,0.0001120312
Bit_532,0.00011119649
Bit_1305,0.00011040026
Bit_412,0.00010924193
Bit_384,0.00010871258
Bit_207,0.00010821023
Bit_974,0.000107989
Bit_154,0.00010722138
Bit_737,0.000107103566
Bit_955,0.00010589993
Bit_599,0.00010565093
Bit_270,0.00010385463
Bit_649,0.00010372474
Bit_1477,0.00010280176
Bit_1595,0.00010270753
Bit_740,0.000102571554
Bit_160,0.00010141431
Bit_70,0.000101058446
Bit_1077,0.00010005092
Bit_1962,0.00010003877
Bit_777,9.998789e-05
Bit_69,9.978624e-05
Bit_1994,9.9218305e-05
Bit_688,9.9206714e-05
Bit_440,9.860006e-05
Bit_1849,9.856023e-05
Bit_1414,9.813888e-05
Bit_368,9.776809e-05
Bit_890,9.638492e-05
Bit_1184,9.620525e-05
Bit_461,9.5372314e-05
Bit_1506,9.526692e-05
Bit_44,9.486872e-05
Bit_741,9.3608294e-05
Bit_140,9.342911e-05
Bit_135,9.2926886e-05
Bit_1500,9.252632e-05
Bit_987,9.2497234e-05
Bit_1561,9.239003e-05
Bit_673,9.1078604e-05
Bit_201,9.079381e-05
Bit_639,9.0655325e-05
Bit_797,9.013299e-05
Bit_1567,8.914406e-05
Bit_1769,8.767451e-05
Bit_180,8.7639244e-05
Bit_1796,8.727384e-05
Bit_1519,8.7272754e-05
Bit_260,8.6382424e-05
Bit_1820,8.628737e-05
Bit_1173,8.468542e-05
Bit_891,8.4534266e-05
Bit_769,8.383663e-05
Bit_3,8.378011e-05
Bit_237,8.373791e-05
Bit_1362,8.311146e-05
Bit_1040,8.263086e-05
Bit_648,8.256493e-05
Bit_501,8.2247985e-05
Bit_27,8.212446e-05
Bit_884,8.1991064e-05
Bit_77,8.1859944e-05
Bit_159,8.1678474e-05
Bit_1653,8.129791e-05
Bit_720,8.104724e-05
Bit_2036,8.05618e-05
Bit_1370,8.054826e-05
Bit_257,8.052986e-05
Bit_1685,8.0139114e-05
Bit_1956,8.013192e-05
Bit_1627,7.9513884e-05
Bit_1397,7.9307276e-05
Bit_366,7.910143e-05
Bit_1001,7.843341e-05
Bit_1673,7.798157e-05
Bit_168,7.760419e-05
Bit_85,7.7245495e-05
Bit_492,7.7010984e-05
Bit_55,7.6822405e-05
Bit_1086,7.585258e-05
Bit_910,7.547327e-05
Bit_677,7.508457e-05
Bit_1635,7.497951e-05
Bit_475,7.391393e-05
Bit_346,7.380325e-05
Bit_380,7.363543e-05
Bit_620,7.2852476e-05
Bit_580,7.2769384e-05
Bit_1082,7.2541436e-05
Bit_595,7.251463e-05
Bit_930,7.24992e-05
Bit_1245,7.238847e-05
Bit_456,7.1841714e-05
Bit_551,7.139428e-05
Bit_908,7.076264e-05
Bit_1704,7.04785e-05
Bit_48,6.975896e-05
Bit_1771,6.955335e-05
Bit_1296,6.940425e-05
Bit_1399,6.844294e-05
Bit_1540,6.7955145e-05
Bit_1208,6.761513e-05
Bit_943,6.722905e-05
Bit_2027,6.679428e-05
Bit_198,6.673445e-05
Bit_1461,6.663997e-05
Bit_1047,6.620426e-05
Bit_1348,6.52809e-05
Bit_655,6.518419e-05
Bit_505,6.49864e-05
Bit_703,6.44832e-05
Bit_299,6.426817e-05
Bit_1224,6.406294e-05
Bit_899,6.403033e-05
Bit_1264,6.394431e-05
Bit_853,6.385794e-05
Bit_474,6.3379906e-05
Bit_793,6.2419385e-05
Bit_1076,6.216291e-05
Bit_464,6.165608e-05
Bit_513,6.146925e-05
Bit_1831,6.130052e-05
Bit_1724,6.112342e-05
Bit_927,6.056526e-05
Bit_255,6.0185335e-05
Bit_205,5.978636e-05
Bit_1133,5.976036e-05
Bit_588,5.8805086e-05
Bit_1502,5.872417e-05
Bit_1759,5.8137004e-05
Bit_172,5.635195e-05
Bit_312,5.6127235e-05
Bit_978,5.6055702e-05
Bit_1638,5.592381e-05
Bit_629,5.5369674e-05
Bit_1282,5.5323133e-05
Bit_437,5.5064207e-05
Bit_1892,5.5057324e-05
Bit_892,5.4410448e-05
Bit_1187,5.432834e-05
Bit_1322,5.4018717e-05
Bit_643,5.3818054e-05
Bit_758,5.354842e-05
Bit_1817,5.316818e-05
Bit_637,5.3085907e-05
Bit_1338,5.2905252e-05
Bit_724,5.2769807e-05
Bit_1688,5.272995e-05
Bit_1380,5.238167e-05
Bit_524,5.1758747e-05
Bit_742,5.1485404e-05
Bit_596,5.118954e-05
Bit_1283,5.108687e-05
