Feature,Importance
Bit_2027,0.0005784076
Bit_1663,0.00057805545
Bit_1464,0.0005770083
Bit_1765,0.0005765918
Bit_1112,0.0005749234
Bit_1221,0.0005740523
Bit_8,0.0005712085
Bit_60,0.00057054794
Bit_392,0.00057023263
Bit_981,0.0005690892
Bit_67,0.00056871586
Bit_302,0.000564441
Bit_1210,0.00056435034
Bit_1770,0.00056234974
Bit_930,0.00055820507
Bit_1249,0.00055747724
Bit_807,0.0005573472
Bit_1294,0.0005571921
Bit_699,0.00055571384
Bit_1,0.00055522064
Bit_623,0.00055484415
Bit_557,0.0005542264
Bit_76,0.0005510067
Bit_828,0.00054926553
Bit_1670,0.00054893014
Bit_1982,0.0005481589
Bit_283,0.0005442169
Bit_242,0.00054415927
Bit_1753,0.00054401514
Bit_1410,0.0005433721
Bit_652,0.0005421782
Bit_1954,0.00054126617
Bit_627,0.0005391566
Bit_1322,0.0005378225
Bit_743,0.0005377917
Bit_608,0.0005376068
Bit_152,0.000536485
Bit_192,0.00053505774
Bit_1683,0.0005349165
Bit_74,0.00053446094
Bit_159,0.00053256826
Bit_1915,0.0005316576
Bit_1142,0.0005316051
Bit_1389,0.00053058704
Bit_875,0.00053008593
Bit_653,0.00052838674
Bit_1156,0.00052811456
Bit_366,0.00052776025
Bit_1631,0.0005273336
Bit_310,0.0005267394
Bit_1471,0.0005258984
Bit_984,0.0005247467
Bit_911,0.0005233341
Bit_1517,0.0005231862
Bit_1281,0.00052281766
Bit_1004,0.0005220597
Bit_333,0.0005205167
Bit_1491,0.0005204008
Bit_322,0.0005200474
Bit_1131,0.0005199871
Bit_547,0.0005191848
Bit_138,0.00051732676
Bit_508,0.0005168546
Bit_1449,0.00051431183
Bit_1970,0.00051283324
Bit_1104,0.00051242195
Bit_562,0.00050848443
Bit_523,0.0005076149
Bit_651,0.0005064124
Bit_575,0.0005063107
Bit_674,0.0005058629
Bit_744,0.0005056809
Bit_1840,0.000504363
Bit_967,0.0005006192
Bit_1448,0.0004960439
Bit_728,0.00049510243
Bit_862,0.00049435266
Bit_1737,0.0004941941
Bit_1511,0.0004939267
Bit_14,0.000493695
Bit_1539,0.00049321214
Bit_453,0.00049216603
Bit_1629,0.0004915355
Bit_1368,0.00049126666
Bit_2031,0.00049046136
Bit_1597,0.00049043476
Bit_1827,0.0004885777
Bit_1267,0.0004885619
Bit_1537,0.00048818087
Bit_1790,0.00048635094
Bit_1236,0.00048580105
Bit_1258,0.00048561266
Bit_1379,0.00048527468
Bit_2017,0.0004840005
Bit_41,0.00048369687
Bit_644,0.00048331544
Bit_1972,0.00048189348
Bit_1469,0.00048155303
Bit_613,0.00048101053
Bit_1384,0.0004803284
Bit_384,0.00048001154
Bit_1328,0.00047977743
Bit_80,0.00047833554
Bit_1722,0.00047744458
Bit_2046,0.00047647936
Bit_300,0.00047644862
Bit_1801,0.00047466377
Bit_1157,0.00047432684
Bit_487,0.00047418816
Bit_718,0.0004741525
Bit_84,0.0004729454
Bit_1457,0.00047208663
Bit_323,0.0004718272
Bit_1017,0.00046952924
Bit_1231,0.00046864795
Bit_1637,0.00046639124
Bit_2043,0.0004662657
Bit_552,0.000465786
Bit_1749,0.00046399876
Bit_277,0.00046398918
Bit_1809,0.0004624323
Bit_1992,0.00046202398
Bit_909,0.00046067467
Bit_2021,0.00045895996
Bit_2,0.00045830364
Bit_535,0.00045794272
Bit_1353,0.00045756798
Bit_1948,0.0004538988
Bit_389,0.00045252935
Bit_1647,0.00045227262
