number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
10,0.6825470762933854,2026-06-16 11:10:57.343950,2026-06-16 11:11:08.309199,0 days 00:00:10.965249,0.9934840707435358,0.2563144413503302,0.0012894862076572651,12,5,1170,2.7194036244188493,8.415911857084266e-08,0.5104121506099788,COMPLETE
11,0.7346905498481716,2026-06-16 11:11:08.312074,2026-06-16 11:11:11.383800,0 days 00:00:03.071726,0.5346918778019968,0.14216887311262247,0.006388012326914232,9,7,422,4.30796446492979,0.0002486663510191629,0.7008923683536303,COMPLETE
12,0.759539161677471,2026-06-16 11:11:11.386783,2026-06-16 11:11:16.007232,0 days 00:00:04.620449,0.7616608770758938,0.8449966906978035,0.006745750433169658,12,3,448,2.388855026343156e-06,0.0012259591931716946,0.7465651803483164,COMPLETE
13,0.5937572941408167,2026-06-16 11:11:16.010083,2026-06-16 11:11:20.339323,0 days 00:00:04.329240,0.7443013267099552,1.0160941978856952,0.001965470654813586,10,7,442,0.16258544021572346,2.169144015429213e-06,0.6305138320371686,COMPLETE
14,0.7599891670729596,2026-06-16 11:11:20.342153,2026-06-16 11:11:23.344955,0 days 00:00:03.002802,0.5001638911259493,2.09421204414022,0.011970205501672661,8,5,840,0.0001797572233061294,0.0030056977318970736,0.8212856867532933,COMPLETE
15,0.7494834115614206,2026-06-16 11:11:23.348374,2026-06-16 11:11:32.258240,0 days 00:00:08.909866,0.9796588144235939,1.2565379509327248,0.002677719240819887,11,9,1061,8.289985951564583e-07,1.0614591633142535e-08,0.6480620477349944,COMPLETE
16,0.7692725191841108,2026-06-16 11:11:32.261059,2026-06-16 11:11:36.982743,0 days 00:00:04.721684,0.7104498592073701,0.017706428612405678,0.010545970449245013,10,5,527,4.77310104370377e-05,2.157040825535156e-05,0.7990639122464293,COMPLETE
17,0.7538162819701696,2026-06-16 11:11:36.985637,2026-06-16 11:11:39.901307,0 days 00:00:02.915670,0.9244102545159458,2.5354703966625776,0.010220404809599265,12,3,556,7.611138311104569e-05,0.004982872395438965,0.5063436814930569,COMPLETE
18,0.6510580887039403,2026-06-16 11:11:39.904170,2026-06-16 11:11:43.233408,0 days 00:00:03.329238,0.7469232658001703,0.8635978547990668,0.003538291414839096,8,1,316,0.36648768118014974,0.00010285540772864931,0.7782424421533862,COMPLETE
19,0.7678184593499316,2026-06-16 11:11:43.236289,2026-06-16 11:11:49.425673,0 days 00:00:06.189384,0.8059064897267648,0.5978416652650793,0.005937294712431817,11,5,773,3.0413275783347793e-05,1.3136204447359787e-06,0.5733899881156556,COMPLETE
20,0.5167063090765159,2026-06-16 11:11:49.428519,2026-06-16 11:11:55.535406,0 days 00:00:06.106887,0.7152209950402607,1.3114586980708032,0.0011286238149892513,9,3,550,0.052706336975172526,0.0004779831830951196,0.9188317084733482,COMPLETE
21,0.7674731284934672,2026-06-16 11:11:55.538290,2026-06-16 11:12:01.523235,0 days 00:00:05.984945,0.809325934688413,0.580891921446264,0.006222977197324954,11,5,782,3.275745245076939e-05,6.795544071384507e-07,0.5531440561022162,COMPLETE
22,0.7675953909737416,2026-06-16 11:12:01.526380,2026-06-16 11:12:07.900303,0 days 00:00:06.373923,0.8155503464811326,0.008119190778216937,0.016703727825665284,11,6,977,0.001499818265039851,1.1658257744419148e-05,0.5801651501129383,COMPLETE
23,0.7643664959883834,2026-06-16 11:12:07.903147,2026-06-16 11:12:12.856899,0 days 00:00:04.953752,0.9216239199279442,0.6125730442918642,0.008060446600319033,9,4,710,2.026412235168628e-07,3.586618530457399e-07,0.6898817201812838,COMPLETE
24,0.7552919030834062,2026-06-16 11:12:12.858455,2026-06-16 11:12:20.760335,0 days 00:00:07.901880,0.7877170282471266,0.4515708710667432,0.003839357224727336,12,2,614,2.122619339368183e-05,8.362972107199037e-05,0.5876378800822711,COMPLETE
25,0.7208274644573269,2026-06-16 11:12:20.763179,2026-06-16 11:12:27.814425,0 days 00:00:07.051246,0.7258064956191627,1.3321692888790104,0.0021149373064553406,10,6,794,0.0008407477711660906,5.100171797232339e-06,0.6735622321875395,COMPLETE
