Smiles,pChEMBL Value,molecular_weight,logP,hydrogen_bond_acceptors,hydrogen_bond_donors,stereo_centers,tpsa,HydrationFreeEnergy_FreeSolv,Solubility_AqSolDB
C[C@@H]1c2c(ccc(O)c2F)O[C@@H](c2ccc(OC[C@H](C)N3CCC[C@H]3C)cc2)[C@H]1c1ccc(O)cc1,9.15,491.60300000000024,6.509500000000007,5,2,5,62.16,-15.446446,-4.467584
CC1(c2ccc(OCCN3CCCCC3)cc2)c2ccc(O)cc2CCN1c1ccc(F)cc1,7.42,460.59300000000013,5.722200000000007,4,1,1,35.940000000000005,-12.130333,-4.738082
Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,9.1,463.5990000000004,5.929600000000006,6,2,2,62.160000000000004,-15.928581,-3.8154888
Oc1ccc2c(c1)CCN(c1ccccc1)C2c1ccc(OCCN2CCCCC2)cc1,7.78,428.57600000000036,5.409000000000005,4,1,1,35.940000000000005,-13.004537,-4.372533
O=C(O)/C=C/c1ccc(Cc2c(-c3cccc(OC(F)(F)F)c3)c(=O)oc3cc(O)ccc23)cc1,8.23,482.41000000000014,5.752800000000003,5,2,0,96.97000000000001,-13.439064,-6.1425457
O=C(O)/C=C/c1ccc(Cc2c(-c3ccc(F)cc3Cl)c(=O)oc3cc(O)ccc23)cc1,8.66,450.8490000000001,5.646700000000004,4,2,0,87.74,-14.090648,-5.863494
Cc1cc(F)ccc1-c1c(Oc2ccc(/C=C/C(=O)O)cc2)c2cc(F)c(O)cc2oc1=O,8.13,450.39300000000014,5.642320000000004,5,2,0,96.97,-13.29151,-5.7545633
Cc1cc(F)ccc1-c1c(Oc2ccc(/C=C/C(=O)O)cc2)c2ccc(O)c(F)c2oc1=O,8.49,450.39300000000014,5.642320000000004,5,2,0,96.97,-13.043597,-5.6973
CC[C@@H](CN1CCCC1)Oc1ccc([C@@H]2Oc3ccc(O)cc3S[C@@H]2c2ccc(O)cc2)cc1,9.1,477.62600000000015,6.318100000000008,6,2,3,62.16000000000001,-15.9677,-4.1148386
CC(C)[C@@H](COc1ccc([C@@H]2Oc3ccc(O)cc3S[C@@H]2c2ccc(O)cc2)cc1)N1CCCC1,9.15,491.6530000000003,6.564100000000009,6,2,3,62.160000000000004,-16.477474,-4.261821
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)CCCC(=O)N(C)C4CC[C@@]5(C)[C@@H](C4)C[C@@H](O)[C@@H]4[C@@H]5C[C@H](O)[C@]5(C)[C@@H]([C@H](C)CCC(=O)O)CC[C@@H]45)cc3)C[C@@]21C,8.21,891247,9.095200000000006,7,4,16,138.60999999999999,-22.215382,-6.838781
C[C@@H]1CCCN1CCOc1ccc([C@@H]2Oc3ccc(O)cc3S[C@@H]2c2ccc(O)cc2)cc1,9.15,463.59900000000016,5.928000000000007,6,2,3,62.16000000000001,-17.131083,-3.8540788
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)CCCS(=O)(=O)N(C)C4CC[C@@]5(C)[C@@H](C4)C[C@@H](O)[C@@H]4[C@@H]5C[C@H](O)[C@]5(C)[C@@H]([C@H](C)CCC(=O)O)CC[C@@H]45)cc3)C[C@@]21C,7.72,927.3019999999998,8.508300000000009,8,4,16,155.68,-22.534943,-6.8529105
O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,6.4,270.24,2.576800000000001,5,3,0,90.9,-15.5607395,-3.9397378
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C(=O)CC[C@H](NC(=O)CC[C@@H](C)[C@H]4CC[C@H]5[C@@H]6[C@H](O)C[C@@H]7C[C@H](O)CC[C@]7(C)[C@H]6C[C@H](O)[C@]45C)C(=O)O)cc3)C[C@@]21C,7.14,921.2289999999999,7.640500000000011,8,6,17,184.7,-26.991104,-6.0696106
