Molecule ChEMBL ID,Molecule Name,Molecular Weight,#RO5 Violations,AlogP,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,BAO Format ID,BAO Label,Assay Organism,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value
CHEMBL135,ESTRADIOL,272.39,0.0,3.61,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,IC50,'=',1.3,nM,8.89,32.62,0.61,5.28,21.96,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1142044,1,Scientific Literature,Bioorg Med Chem Lett,2005.0,,,,,1.3
CHEMBL3657150,,470.61,1.0,6.19,Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCN3CCCC(C)C3)cc2)c2ccc(O)cc12,IC50,'=',170.0,nM,6.77,14.38,0.26,0.58,11.7,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL3639280,37,BindingDB Patent Bioactivity Data,,2014.0,,,,,170.0
CHEMBL44,GENISTEIN,270.24,0.0,2.58,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,IC50,'=',2150.0,nM,5.67,20.97,0.39,3.09,6.23,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1148765,1,Scientific Literature,J Med Chem,2007.0,,,,,2.15
CHEMBL5583994,,531.59,1.0,4.82,CCOC(=O)/C=C/C(=O)NCCOc1ccc(C(=O)c2c(-c3ccc(O)cc3)sc3cc(O)ccc23)cc1,IC50,'=',6000.0,nM,5.22,9.82,0.19,0.4,4.27,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL5550117,1,Scientific Literature,Eur J Med Chem,2024.0,,,ANTAGONIST,,6.0
CHEMBL5095183,IMLUNESTRANT,524.51,2.0,6.39,Oc1ccc2c3c(cnc2c1)-c1ccc(C(F)(F)F)cc1O[C@@H]3c1ccc(OCCN2CC(CF)C2)cc1,Ki,'=',2.8,nM,8.55,16.31,0.31,2.16,15.6,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL5346947,1,Scientific Literature,J Med Chem,2023.0,,,DEGRADER,,2.8
CHEMBL226267,ARZOXIFENE,475.61,1.0,6.94,COc1ccc(-c2sc3cc(O)ccc3c2Oc2ccc(OCCN3CCCCC3)cc2)cc1,IC50,'=',21.5,nM,7.67,16.12,0.31,0.73,14.99,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1143673,1,Scientific Literature,J Med Chem,2007.0,,,,,21.5
CHEMBL183584,,463.6,1.0,5.79,C[C@@H]1CCN(CCOc2ccc([C@@H]3Oc4ccc(O)cc4S[C@@H]3c3ccc(O)cc3)cc2)C1,IC50,'=',3.0,nM,8.52,18.38,0.35,2.73,13.71,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1141200,1,Scientific Literature,Bioorg Med Chem Lett,2005.0,,,,,3.0
CHEMBL180300,,463.6,1.0,5.93,C[C@@H](COc1ccc([C@@H]2Oc3ccc(O)cc3S[C@@H]2c2ccc(O)cc2)cc1)N1CCCC1,IC50,'=',1.3,nM,8.89,19.17,0.37,2.96,14.3,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1141200,1,Scientific Literature,Bioorg Med Chem Lett,2005.0,,,,,1.3
CHEMBL81,RALOXIFENE,473.59,1.0,6.08,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,IC50,'=',1.8,nM,8.74,18.46,0.35,2.66,12.49,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1141200,1,Scientific Literature,Bioorg Med Chem Lett,2005.0,,,,,1.8
CHEMBL372337,,473.59,1.0,5.93,C[C@@H]1CCN(CCOc2ccc(C(=O)c3c(-c4ccc(O)cc4)sc4cc(O)ccc34)cc2)C1,IC50,'=',0.6,nM,9.22,19.47,0.37,3.29,13.17,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1141200,1,Scientific Literature,Bioorg Med Chem Lett,2005.0,,,,,0.6
