y_real,y_pred,erro
8.7,7.232727301713369,-1.4672726982866306
5.18,6.067085605198472,0.8870856051984726
8.85,8.909822191142093,0.05982219114209286
7.47,6.058398877100965,-1.411601122899035
5.74,6.1664328340449535,0.42643283404495325
5.95,5.698176125969872,-0.2518238740301282
7.91,8.137965479925473,0.2279654799254729
8.82,8.39649111111109,-0.4235088888889109
5.62,5.990038620617519,0.37003862061751924
8.31,7.549444283038831,-0.7605557169611696
6.42,6.903521652902324,0.48352165290232385
8.42,7.4560682072102225,-0.9639317927897775
4.48,5.133748031528984,0.6537480315289832
5.69,5.502449313780111,-0.18755068621988968
4.42,4.69588125398475,0.2758812539847497
8.57,7.701960266854828,-0.8680397331451726
6.39,6.235745710023409,-0.15425428997659107
5.47,6.669370110577666,1.1993701105776662
7.46,6.729413798557379,-0.7305862014426205
4.64,5.157642294645487,0.517642294645487
4.71,5.240911318663259,0.530911318663259
4.87,4.936667334486164,0.06666733448616391
6.95,6.411859332543266,-0.5381406674567346
8.33,7.468249831795391,-0.8617501682046091
7.09,6.3531432118122595,-0.7368567881877404
5.58,5.46487807246528,-0.11512192753472039
7.85,7.145346951896958,-0.704653048103042
4.45,4.723121091007483,0.27312109100748305
4.91,4.98824217947395,0.07824217947394985
6.18,7.723176024089185,1.5431760240891856
7.24,7.14930250739004,-0.0906974926099604
7.64,7.218811872225662,-0.4211881277743377
7.58,6.583800613461634,-0.9961993865383665
5.1,5.0436433520176704,-0.0563566479823292
7.16,7.572862663687716,0.41286266368771596
9.37,8.973219999999992,-0.3967800000000068
5.36,5.80120493548909,0.4412049354890897
4.43,4.788590387018147,0.3585903870181477
6.77,8.095075438450184,1.3250754384501846
6.75,6.453847342687604,-0.2961526573123958
7.4,7.808015899161716,0.40801589916171555
4.65,5.171804686718541,0.5218046867185411
7.31,7.077216397731936,-0.23278360226806338
7.51,8.72846536680319,1.2184653668031906
5.77,7.5274317064343785,1.757431706434379
9.7,8.909822191142093,-0.7901778088579068
5.97,5.867071034154328,-0.10292896584567135
7.89,7.289465745241539,-0.6005342547584611
8.23,8.056606147740114,-0.17339385225988657
6.92,6.882689025963725,-0.03731097403627537
6.5,7.308502226972928,0.8085022269729283
7.1,6.431104564017055,-0.6688954359829449
8.49,8.296308888888882,-0.19369111111111792
7.43,7.5125085771830475,0.08250857718304783
8.52,8.260318629846804,-0.2596813701531957
6.57,6.3940644596623315,-0.17593554033766878
5.34,6.171587291996822,0.8315872919968221
9.89,8.943302450597482,-0.9466975494025185
5.85,6.0317327867069945,0.1817327867069949
8.4,7.225284952507011,-1.174715047492989
7.21,6.670829195575103,-0.5391708044248968
5.71,6.107003054116064,0.3970030541160643
5.3,5.989883697718888,0.689883697718888
7.0,8.909822191142093,1.9098221911420925
9.22,8.226184193969454,-0.9938158060305469
9.33,7.515512880424534,-1.8144871195754657
5.58,6.024949756040931,0.44494975604093057
7.8,8.97694827438251,1.17694827438251
8.1,8.428877555555575,0.3288775555555752
4.9,5.108293433785371,0.20829343378537057
5.14,5.529006752126366,0.3890067521263667
8.22,7.119867938103914,-1.1001320618960868
4.45,4.9242297400442165,0.47422974004421636
7.09,6.696778397894191,-0.39322160210580925
7.68,7.740426192989016,0.060426192989016414
4.27,5.127303674743551,0.8573036747435516
5.17,5.3814788308547605,0.2114788308547606
5.19,5.852206011130805,0.662206011130805
5.1,5.504254906434847,0.40425490643484707
5.09,5.081952126026713,-0.00804787397328699
4.82,5.012522010724999,0.19252201072499897
5.0,5.467556212320588,0.46755621232058786
5.51,5.836901864445785,0.3269018644457855
8.7,8.510956467162261,-0.18904353283773823
4.51,6.1225545185169725,1.6125545185169727
5.47,6.828065810173315,1.358065810173315
5.41,5.460306300683307,0.05030630068330666
8.12,8.638051623728082,0.5180516237280823
8.24,8.909822191142093,0.6698221911420923
